"Country","Code","2005-2010"
"Japan",392,80.48
"Belarus",112,67.43
"Bulgaria",100,70.88
"Czech Republic",203,74.04
"Hungary",348,70.91
"Poland",616,72.78
"Republic of Moldova",498,66.61
"Romania",642,69.71
"Russian Federation",643,65.7
"Slovakia",703,72.76
"Ukraine",804,67.35
"Channel Islands",830,77
"Denmark",208,76.04
"Estonia",233,69.44
"Finland",246,77.04
"Iceland",352,78.95
"Ireland",372,75.94
"Latvia",428,68.69
"Lithuania",440,70.28
"Norway",578,78.22
"Sweden",752,79.23
"United Kingdom",826,77.08
"Albania",8,73.03
"Bosnia and Herzegovina",70,73.57
"Croatia",191,74.57
"Greece",300,78
"Italy",380,78.63
"Malta",470,77.54
"Montenegro",499,73.4
"Portugal",620,75.84
"Serbia",688,71.91
"Slovenia",705,75.27
"Spain",724,78.49
"TFYR Macedonia",807,72.66
"Austria",40,77.38
"Belgium",56,77.3
"France",250,78.28
"Germany",276,77.21
"Luxembourg",442,76.99
"Netherlands",528,77.85
"Switzerland",756,79.23
"Canada",124,78.49
"United States of America",840,76.4
"Australia",36,78.73
"New Zealand",554,77.43
